Les étudiant(e)s d'informatiques face à la situation sanitaire																																				
Détails de la soumission																																				
Séquentiel	Vous êtes 	En quelle année êtes-vous ?	Dans quelle filière étudiez-vous ?	Vous sentez-vous épanoui(e) dans vos études ?	Avez-vous ressenti une baisse de motivation au cours de ces derniers mois ?	Avez-vous ressenti l'envie d'arrêter vos études? 	Avez-vous consulté un(e) psychologue ou un(e) psychiatre suite à des difficultés liées à la situation sanitaire ?	Si vous-même demain, étiez concerné(e) par l’apparition d’un trouble mental, et que vous ressentiez le besoin de consulter et d’être pris(e) en charge, sauriez-vous à qui vous adresser ?	Vous sentez-vous isolé(e) socialement ?	Selon vous, le bien-être des étudiant(e)s est-il mis de côté ? 	Un sentiment de nervosité, d’anxiété ou de tension	Une tendance à être facilement contrarié(e) ou irritable	Des difficultés à se détendre	Une inquiétude excessive à propos de différentes choses	Une incapacité à arrêter de s’inquiéter ou à contrôler ses inquiétudes	Une agitation telle qu’il est difficile de tenir en place	Un sentiment de peur comme si quelque chose de terrible risquait de se produire	Vous sentir fatigué(e) ou avoir peu d’énergie 	Difficultés à vous endormir, à rester endormi ou trop dormir	Vous sentir triste, déprimé(e) ou désespéré(e)	Avoir peu d'appétit ou trop d'appétit	Peu d'intérêt ou de plaisir à faire les choses	Mauvaise perception de vous-même, vous pensez que vous êtes un(e) perdant(e) ou que vous n'avez pas satisfait vos propres attentes ou celles de votre famille	Difficultés à vous concentrer sur des choses telles que lire le journal ou regarder la télévision	Vous bougez ou vous parlez si lentement que les autres personnes ont pu le remarquer. Ou, au contraire, vous êtes si agité(e) que vous bougez beaucoup plus que d'habitude	Vous avez pensé que vous seriez mieux mort(e) ou vous avez pensé à vous blesser d'une façon ou d'une autre	Considérez-vous que les modalités d’enseignement actuelles permettent une formation correcte ?	Des remarques par rapport aux méthodes d'enseignement actuelles ?	Des pistes pour l'amélioration des méthodes d'enseignement ?	Etes-vous favorable à une réouverture des facultés et des amphithéâtres ?	Si les facs réouvraient 1 jour par semaine, seriez-vous en mesure de vous rendre en cours en présentiel ? 	Avez-vous dû changer de logement à cause de la situation sanitaire ?	Vous pouvez nous écrire un témoignage concernant votre logement ici	Avez-vous bénéficié d'une aide alimentaire avant le premier confinement ?	Avez-vous eu besoin d'une aide alimentaire depuis le début de la crise sanitaire ?	Si vous souhaitez nous laisser un petit mot ou témoigner de votre situation pour que l'on puisse le remonter aux enseignant(e)s, c'est ici :
104	Un homme	M2	Informatique	2	Oui beaucoup	Non	Ne souhaite pas répondre	Oui, à peu près	Oui beaucoup	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Plus de la moitié du temps	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
105	Une femme	L1	Informatique	4	Oui beaucoup	Non	Non	Non, pas du tout	Oui beaucoup	Oui plutôt	Plusieurs jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Non pas trop	J'ai du mal à me concentrer, à assimiler mes cours avec cette méthode surtout par rapport aux bugs des plateformes qu'on utilise mais aussi car  je trouve ça démotivant de suivre les cours de chez moi	Garder un minimum de cours en présentiel, favoriser le travail en équipe pour garder un lien social avec les autres.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	Merci à tous ceux qui font l'effort de nous comprendre et qui font de leur mieux pour essayer d'améliorer notre situation, ça compte énormément pour nous.
106	Un homme	L1	Mathématiques/Informatique	5	Non	Non	Non	Oui, tout à fait	Non pas du tout	Oui plutôt	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	grand appartement à Paris ou l'on vit à 6	Non	Non	
107	Une femme	L3	Informatique	4	Oui beaucoup	Non	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Oui une fois		Non	Non	
108	Une femme	M1	Informatique	4	Oui un peu	Non	Non	Non, plutot pas	Non pas trop	Oui plutôt	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Plusieurs jours	Jamais	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Non	Non		Non	Non	
109	Une femme	L1	Informatique	3	Oui beaucoup	Oui	Non	Oui, à peu près	Non pas trop	Oui plutôt	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
110	Un homme	L3	MI	2	Oui beaucoup	Non	Non	Non, pas du tout	Oui plutôt	Oui plutôt	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Ne souhaite pas répondre	
111	Un homme	L3	Informatique	4	Oui un peu	Oui	Non	Non, plutot pas	Non pas trop	Ne souhaite pas répondre	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop	Certains enseignants semblent apprécier aussi peu que nous les cours à distances mais font des efforts indéniables.	Le retour en présentiel !	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
112	Un homme	M2	MIDS	5	Non	Non	Non	Non, pas du tout	Non pas du tout	Oui plutôt	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	Un message pour Fuchs : arrête tes examens présentiels inutiles et rends tes cours plus intéressants.
113	Une femme	L2	Informatique	2	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Presque tous les jours	Ne souhaite pas répondre	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Non	
114	Une femme	M2	MIC	5	Oui beaucoup	Oui	Non	Oui, à peu près	Non pas trop	Oui plutôt	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
115	Autre	L3	Informatique	1	Oui beaucoup	Oui	Non	Non, plutot pas	Oui beaucoup	Oui plutôt	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Ne souhaite pas répondre	Plus de la moitié du temps	Oui plutôt			Oui pour la totalité des cours	Ne sait pas encore	Non		Ne souhaites pas répondre	Oui	🙂
116	Un homme	L1	Informatique	3	Oui beaucoup	Oui	Non	Non, pas du tout	Non pas du tout	Oui beaucoup	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas du tout	Inadmissible 	Plus, voir que des vidéos 	Oui pour la totalité des cours	Oui	Non		Non	Non	
117	Un homme	L3	Informatique	3	Oui beaucoup	Non	Non	Non, pas du tout	Oui beaucoup	Oui beaucoup	Plus de la moitié du temps	Plusieurs jours	Jamais	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop	Je pense que le problème ne vient pas tant que ça de l'enseignement en lui-même, parce qu'en soit on a toujours des profs qui nous font cours, à qui on peut poser des questions etc... C'est juste le format qui n'est pas le même et qui nous pénalise énormément, parce que rester chez soi H24 devant son PC à écouter les profs pour ensuite quand c'est fini, rester encore devant son PC pour travailler ces cours / faire des TP / projets c'est très usant. Mentalement c'est éprouvant, de ne pas pouvoir s'aérer, parler avec ses amis ou autres pour pouvoir extérioriser. Sinon pour en revenir à l'enseignement je pense que c'est propre à chaque professeur et à ses méthodes de travail. Personnellement, tous mes profs ont bien réussi à s'adapter et nous produisent des cours de qualité.		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	Personnellement, au moment où je vous parle (début du S6) la charge de travail est bien, je me sens bien et arrive à tout gérer sans soucis. C'était la même chose au début du semestre dernier sauf que lorsque la fac a fermé, en parallèle, les projets / devoirs / révisions se sont accumulés et c'est devenu tout simplement ingérable. J'aimerais bien que les professeurs puissent s'en rendre un peu plus compte. Avoir à gérer en même temps les cours, les TP, les (nombreux) projets, les révisions, la vie sociale, le sport etc.. est très dur ! Et le distanciel n'arrange pas les choses, loin de là.
118	Un homme	M2	Informatique	1	Oui beaucoup	Non	Non	Non, pas du tout	Oui plutôt	Oui beaucoup	Jamais	Jamais	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Jamais	Jamais	Plusieurs jours	Plus de la moitié du temps	Jamais	Presque tous les jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Non pas du tout	Faut tout changer !		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Ne souhaites pas répondre	Non	
119	Un homme	M1	Informatique	4	Oui beaucoup	Non	Non	Oui, tout à fait	Non pas trop	Oui beaucoup	Jamais	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Non pas trop	Elles s'adaptent tant bien que mal, je pense que le problème est surtout dans l'adaptation côté étudiant.	Pourquoi pas, lorsque c'est possible, dédier chaque jour à une matière ? De manière à aider l'organisation des étudiants…	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non	Mon logement est familial, et je n'ai pas de quoi bien étudier (calme, bureau…).	Non	Non	
120	Une femme	L2	Informatique	3	Oui un peu	Non	Non	Non, plutot pas	Oui plutôt	Oui beaucoup	Jamais	Plusieurs jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Jamais	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Jamais	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
121	Une femme	M2	Mathématiques Informatique	2	Oui beaucoup	Oui	Non	Non, plutot pas	Oui plutôt	Oui beaucoup	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Non pas trop	Au dela de 2h de cours, c'est juste pas possible de rester concentré	"Des pauses réelles de 15 min et pas 5 et demi à la volée, poser des questions aux etudiants, nous envoyer des mails à tous et pas à des sous ensembles d'etudiants qui ne transmettent pas forcément les informations. Nous donner nos notes en temps et en heure, on est déjà suffisamment angoissé.es comme ca pour en plus rester des mois sans nouvelles de nos résultats. 
Proposer des rendez vous en petits groupes en présentiels éventuellement.
 Je sais qu'une grande partie des enseignants font de leur mieux, mais j'aimerai beaucoup plus de transparence de leur part, et des deadlines claires et précises. Et pour certains profs qui ne savent toujours pas utiliser zoom ou BBB, ca fait maintenant un an qu'on en est réduit à ca, c'est incroyable de ne toujours pas savoir utiliser ces outils quand vous avez des collègues dans le bureau d'à côté qui savent le faire. Faites vous des petits groupes de cours si vous n'êtes pas à l'aise, parce que derrière on est entre 20 et 80 à en patir ... 
A ceux qui organisent des examens en présentiel et nous rabrouent le jour J parce que c'est déjà ""intolérable d'organiser ca en pésentiel"", ce n'est pas notre choix à nous, ça ne sert à rien de projeter vos angoisses sur nous. A ceux qui organisent des QCM en examens en présentiel, vraiment est ce la peine de nous faire venir pour ca ? Il faut adapter les modalités d'examen et les échelles temporelles pour les stages parce qu'on ne s'y retrouve vraiment pas . "	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Oui une fois	Je vis comme beaucoup je pense dans un petit appartement très peu lumineux. Très chouette pour y passer mes soirées et mes weekends, moins chouette pour y vivre plusieurs mois coupés du monde. Pour preuve j'ai voulu prendre des plantes, seule une fougère à survécue, et elle est en piteux état tellement il fait sombre. J'ai du rentrer chez mes parents très loin de Paris pour ma santé mentale, et rentrer à Paris en catastrophe pour des examens dont on a eu le planning quelques jours avant pas merci pour le prix des billets. Avec le retour supposé du présentiel je ne peux même pas décider de retourner de nouveau chez mes parents, parce que je n'aurai pas les moyens de payer des billets aller retours indéfiniment. Dans tous les cas l'ambiance de travail n'est pas du tout idéale, et pour des raisons évident de santé j'évite de prendre les transports et donc de me rendre à la bibliothèque.	Non	Non	"J'aimerai plus d'accompagnement pour les stages, on nous a lachés dans l'eau mais avec la détress à laquelle on fait face c'est pas évident de se vendre en entretien, quand enfin on en obtient un après des dizaine de candidatures envoyées...
Je n'arrive pas à me projeter et à imaginer l'avenir, et j'ai un jour sur deux l'envie de tout envoyer balader. 
Bref prenez en compte notre détresse et valoriser nous au lieu de nous faire crouler sous des montagnes de travail et de nous culpabiliser. "
122	Un homme	M2	Informatique EIDD	2	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Non pas trop	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Jamais	Plusieurs jours	Plusieurs jours	Non pas trop			Non	Non	Non		Non	Non	
123	Un homme	L3	Mathématiques-Informatique	3	Oui un peu	Oui	Non	Non, plutot pas	Non pas trop	Oui beaucoup	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Oui plutôt	On a deux fois plus de travail (lire le chapitre + vidéo 2h, cours q/r 2h, travail personnel)	Faire participer tout le monde en posant des questions sur le cours par ex, des petits quizz.	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Oui plusieurs fois		Non	Non	"J'ai la chance d'être bien entouré pour garder le cap sur mes objectifs. Je sais que des proches ont beaucoup de mal, mais n'en parlent pas. Il faut qu'on soit là pour les gens les plus fragilisés par ces derniers mois. J'ai du mal à comprendre la raison ""logique"" des facs fermés quand les prépas ont cours en présentiel.."
124	Une femme	L1	Informatique	3	Oui beaucoup	Ne souhaite pas répondre	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Jamais	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Jamais	Presque tous les jours	Jamais	Plus de la moitié du temps	Presque tous les jours	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Oui une fois	Je suis dans une résidence étudiante. Le soucis est que ma connexion internet n’était pas totalement en marche j’ai donc du retourne chez mes parents pour avoir une connexion stable. C’était très dure de se concentrer tout le temps	Non	Non	
125	Un homme	L1	Informatique	3	Non	Non	Non	Non, plutot pas	Non pas du tout	Ne souhaite pas répondre	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Ne souhaite pas répondre			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
126	Un homme	M2	Informatique	4	Oui un peu	Non	Non	Non, plutot pas	Non pas du tout	Oui plutôt	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Presque tous les jours	Jamais	Plus de la moitié du temps	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
127	Une femme	L2	Informatique	3	Oui beaucoup	Oui	Non	Non, plutot pas	Oui plutôt	Oui beaucoup	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
128	Un homme	M2	Informatique	2	Oui beaucoup	Non	Non	Non, pas du tout	Non pas trop	Oui plutôt	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Presque tous les jours	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non	très difficile de travailler à la maison dans le bruit, le meilleur pour travailler est quand ils dorment tous, c'est-à-dire après 0h...	Oui	Non	
129	Un homme	L2	Informatique	3	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Oui plutôt	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Oui	
130	Un homme	L1	Informatique 	3	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Oui plutôt	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plus de la moitié du temps	Plusieurs jours	Ne souhaite pas répondre	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Jamais	Ne souhaite pas répondre			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Ne souhaite pas répondre	
131	Une femme	L1	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Non pas trop	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Jamais	Non pas trop			Non	Oui	Non		Non	Non	
132	Un homme	M1	Informatique	3	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Plusieurs jours	Jamais	Presque tous les jours	Plusieurs jours	Presque tous les jours	Jamais	Presque tous les jours	Presque tous les jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Jamais	Jamais	Non pas trop	Surcharge de projets et travails surement du au fait que les profs pensent que nous ne faisont rien chez nous. Mais moi je vis seul en appartement j'ai toutes les tâches ménagères à faire encore plus qu'au quotidien normal de quand je vais a l'université. 	Être plus raisonnable et traiter au cas par cas 	Oui pour la totalité des cours	Oui	Non		Non	Non	Pour ma part c'est vraiment un problème de motivation, je suis nouveau je n'ai pas eu l'occasion de m'intégrer dans un groupe d'amis et le travail de groupe à faire avec des inconnus qui peuvent avoir un cadre de travail différent du notre dans le sens ou certains n'ont pas de micro par exemple etc c'est assez difficile. J'ai songé à tout arrêté, j'ai souffert du complexe de l'imposteur à cause de l'isolation, je pensais être nul et que je n'avais rien à faire là , car je ne peux pas me jauger aux autres, et me dire que c'est normal que je galère un peu dans certaines matières. 
133	Un homme	L1	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Non pas trop	Non pas trop	Jamais	Ne souhaite pas répondre	Jamais	Jamais	Jamais	Jamais	Plusieurs jours	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Oui plutôt			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
134	Une femme	M2	Informatique-Mathématiques	2	Oui un peu	Non	Non	Oui, tout à fait	Non pas du tout	Oui beaucoup	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Ne souhaite pas répondre	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
135	Un homme	M2	Mathématiques et informatique 	5	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Oui plutôt	Plus de la moitié du temps	Plus de la moitié du temps	Jamais	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Jamais	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop			Oui pour la totalité des cours	Oui	Non		Non	Non	
136	Un homme	M2	Informatique	2	Oui beaucoup	Ne souhaite pas répondre	Non	Non, plutot pas	Oui plutôt	Oui plutôt	Plus de la moitié du temps	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Presque tous les jours	Presque tous les jours	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Presque tous les jours	Jamais	Jamais	Non pas trop	Motivation quasi-inexistante lors des cours en distanciel, contrairement aux rares cours en présentiel qui remotivent grandement.		Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
137	Un homme	M2	Informatique	5	Oui beaucoup	Non	Non	Oui, tout à fait	Oui plutôt	Oui plutôt	Plusieurs jours	Jamais	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Plus de la moitié du temps	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Oui beaucoup		Plus de compréhension des profs face aux difficultés du distanciel. 	Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
138	Un homme	M2	Informatique	2	Oui beaucoup	Non	Non	Oui, à peu près	Oui plutôt	Oui beaucoup	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Jamais	Non pas du tout			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
139	Un homme	M2	Informatique	1	Oui beaucoup	Oui	Non	Non, plutot pas	Oui beaucoup	Non pas trop	Presque tous les jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Presque tous les jours	Plusieurs jours	Jamais	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Presque tous les jours	Jamais	Jamais	Non pas trop			Non	Non	Oui plusieurs fois		Non	Non	
140	Une femme	M2	Informatique	4	Oui un peu	Non	Non	Oui, à peu près	Oui plutôt	Oui plutôt	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Plusieurs jours	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non		Non	Non	
141	Une femme	L2	Informatique	2	Oui beaucoup	Oui	Non	Non, pas du tout	Non pas trop	Oui beaucoup	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Jamais	Jamais	Jamais	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Jamais	Plus de la moitié du temps	Plusieurs jours	Plus de la moitié du temps	Jamais	Jamais	Non pas du tout			Oui pour la totalité des cours	Oui	Ne souhaite pas répondre		Non	Non	
142	Un homme	M2	Informatique	2	Oui beaucoup	Oui	Non	Oui, à peu près	Oui beaucoup	Oui beaucoup	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plusieurs jours	Plus de la moitié du temps	Jamais	Plusieurs jours	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Ne sait pas encore	Non	J'ai un problème de logement en parallèle de la crise du covid qui exacerbe le sentiment de solitude et d'enfermement que j'ai.	Non	Non	
143	Une femme	M2	MIDS	3	Oui beaucoup	Non	Non	Oui, à peu près	Non pas trop	Oui beaucoup	Plus de la moitié du temps	Plus de la moitié du temps	Presque tous les jours	Presque tous les jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Plusieurs jours	Jamais	Plusieurs jours	Plusieurs jours	Plus de la moitié du temps	Plusieurs jours	Jamais	Jamais	Jamais	Non pas trop			Oui en hybride, possibilité d'aller en cours physiquement ou de le suivre à distance	Oui	Non		Non	Non	
